,Game Title,Date Posted,Review Text,Review Judgment,Recommended or Not,Hours on Record
0,Call_of_Duty,10/13/2023,You're welcome! :),helpful,Recommended,34.1
1,Call_of_Duty,10/13/2023,Thank you Mr. Skutnik. Been playing your games since 2005,helpful,Recommended,6.6
2,Call_of_Duty,10/15/2023,Experience the horror of being french,helpful,Recommended,23.3
3,Call_of_Duty,10/16/2023,Shadow Wizard Money Gang,helpful,Recommended,9.2
4,Call_of_Duty,10/18/2023,"On the other, Ashley is hot.",helpful,Recommended,4.2
5,Call_of_Duty,10/18/2023,"Edit: the Developers responded to my review directly and not in a generic way, so huge respect for that. I've decided that because of willingness to take specific criticisms I have to change my review to a recommend. It means the game will only get better and that they WANT to make the game better from user feedback. It means they actually care and that goes a loooooong way for me",helpful,Recommended,4.8
6,Call_of_Duty,10/16/2023,"Step 13: After 50 mods, NPC's with better combat, cloaks, gore effects, a nice flora overhaul, a new skill tree, trees inside towns, big tiddie waifus, a better bigger stronger enhanced Fus Ro Dah, after all that, you're finally allowed to play your 15 minutes of Skyrim daily just to take pictures and leave.",helpful,Recommended,151.8
7,Call_of_Duty,10/12/2023, ,helpful,Recommended,5.1
8,Call_of_Duty,10/14/2023,"Overall an fantastic game with loads of content for many different types of play styles, the artwork is wonderful as well. I hope you found this review helpful. Thank you",helpful,Recommended,
9,Call_of_Duty,10/15/2023, ,helpful,Recommended,112.9
10,Call_of_Duty,10/13/2023,"If we hit 1,000 crashes by the end of the month, i'll post 5 videos of me oiled up and twerking.",helpful,Recommended,1.4
11,Call_of_Duty,10/12/2023,profit?,helpful,Recommended,
12,Call_of_Duty,10/14/2023,"The uninstall button was very well made, however the refund button needs some work.",helpful,Recommended,
13,Call_of_Duty,10/18/2023,#NAME?,helpful,Recommended,0.7
14,Call_of_Duty,10/15/2023,"This is a little bit like that. Cheers, M, this is superlative.",helpful,Recommended,1.6
15,Call_of_Duty,10/12/2023,remove megan fox voice lines,helpful,Recommended,35
16,Call_of_Duty,10/13/2023,10-Oct,helpful,Recommended,3.3
17,Call_of_Duty,10/13/2023,"I do feel like some aspects of the game could have done with additional time in the oven. But overall, I recommend it if you wanna play some 1930s pulp action fun.",helpful,Recommended,3.4
18,Call_of_Duty,10/13/2023,Give it a try - they're adding more servers and you can run your own if you like also.,helpful,Recommended,17.8
19,Call_of_Duty,10/16/2023,Overall Score: 7.5/10,helpful,Recommended,38.7
20,Call_of_Duty,10/14/2023,"What I would like to see if you make new games/ DLC is more variation in traits on characters for more variation in maxed characters, a little bit smoother/ quicker UI in battle maps. A little more customization for the main character's class would be a nice touch. BUT overall, keep doing what you're doing this a GEM of a game and I would buy DLC/ additional games as soon as they dropped. thank you for this classic.",helpful,Recommended,133.1
21,Call_of_Duty,10/14/2023,"YOU PUT IT DOWN LIKE NEW YORK CITY, I NEVER SLEEP",helpful,Recommended,30
22,Call_of_Duty,10/13/2023,Sisterwife.,helpful,Recommended,6.3
23,Call_of_Duty,10/14/2023,IT'S BACK BABY,helpful,Recommended,11.7
24,Call_of_Duty,10/17/2023,WE 🫵 LOVE ❤️ CASTING 🪄 SPELLS 📖,helpful,Recommended,2.4
25,Call_of_Duty,10/16/2023,Maximum 2 player multi.,helpful,Recommended,8
26,Call_of_Duty,10/17/2023,"DEVS LOW ON SNOW, MUST DONATE!",helpful,Recommended,
27,Call_of_Duty,10/13/2023,"It feels quite polished, and with that I'm gonna say if you're a fan of factorio or other automation style games, definitely give this a go.",helpful,Recommended,4.1
28,Call_of_Duty,10/13/2023,"If you want a single-player soulslike game, it's honestly not a bad pick. But if you want a coop soulslike game (which this one was marketed as) then I'm afraid... this just ain't it chief.",helpful,Recommended,1.9
29,Call_of_Duty,10/17/2023,That's really all I have to say.,helpful,Recommended,6.7
30,Call_of_Duty,10/18/2023,I can fix her,helpful,Recommended,3.4
31,Call_of_Duty,10/15/2023,They really went fine i'll make Bloodborne on the pc myself.,helpful,Recommended,41.5
32,Call_of_Duty,10/13/2023,"My friend I play with said that if I post a review about the game and it gets 200 likes and 50 rewards, he'll buy me a bag of chips and a RTX 4090. So I'll leave this here.",helpful,Recommended,6.3
33,Call_of_Duty,10/18/2023,man this game makes me wish incest was real,helpful,Recommended,4.1
34,Call_of_Duty,10/16/2023,Its my Forager addiction all over again,helpful,Recommended,30.6
35,Call_of_Duty,10/18/2023,"Gu Yi has 8 jobs, 6 girlfriends, 5 apartments/houses/storage closets, 0 dollars, and I'm loving every minute of his life.",helpful,Recommended,9.3
36,Call_of_Duty,10/16/2023,A far more rapidly paced Starve Together with plenty of stuff to research/build/destroy.,helpful,Recommended,5.2
37,Call_of_Duty,10/12/2023,"Should you leave a negative review because of ""store bought assets"" Like your favorite game Rust used - No",helpful,Recommended,57
38,Call_of_Duty,10/17/2023,"Overall I think the game is still worth playing for the exploration of its brutal and gorgeous world, but I recommend you wait until all of the crashes have been fixed at least.",helpful,Recommended,51.5
39,Call_of_Duty,10/17/2023,"The game is very good. I am however extremely dissapointed with the co-op. They said multiple times leading up to the release that you can play the whole game with a friend. You can *technically* do that, but onle the host gets story and boss progress, special items, spells, and the biggest sinner of all, boss loot/rememberence. The coop was the biggest reason me and my friend was excited about the game, because we love souls like games, but hate the way From Software designs their coop. If you're only getting this to play with a friend, don't. If you're getting this to play a really good souls like by yourself, absolutely get it",helpful,Recommended,24.6
40,Call_of_Duty,10/12/2023,"Somewhat of a rocky start but overall, it's not been horrible. There was some issues getting the game to launch but after figuring that black screen problem out, it's all been smooth. The graphics are great and the ambient sounds honestly do a great job of making it feel like you're sitting in the lower decks of a ship sometimes. A lot could be added to the game, and although I'm sure the devs will be continuing to work on things, the fact that modding is supported is huge for the longevity of the game. Overall, there is a lot of potential for this to take off. I'd say it's already worth the $30 and it certainly will keep it's value moving forward.",helpful,Recommended,21.1
41,Call_of_Duty,10/18/2023,its good to hear Lances voice again,helpful,Recommended,0.8
42,Call_of_Duty,10/14/2023,"The 8.7h i spent playing this game were the closest to gaming perfection I have ever had. I'm a games developer with a career of over 27 years and I've worked on some very successful titles, but this was my personal favourite.",helpful,Recommended,9.2
43,Call_of_Duty,10/16/2023,"Please, Steam, enable the option for my classmates not to see what games I am playing and what I am purchasing.",helpful,Recommended,12.9
44,Call_of_Duty,10/13/2023,Who stole my spoon???? From my basement????,helpful,Recommended,3
45,Call_of_Duty,10/13/2023,Idris Elba hardly testing my heterosexuality here,helpful,Recommended,
46,Call_of_Duty,10/14/2023,The only good reason is to get it if your mods require it.,helpful,Recommended,
